MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
58:57:7d:4d:79:80,,Misc,2020-02-21 16:44:47,7936,-96,40.24938921,-111.65099458,1381,15.008000373840332,BLE
d8:e0:e1:3f:d6:c1,[TV] Samsung 6 Series (50),Uncategorized;10,2020-02-21 16:44:47,7936,-98,40.24938921,-111.65099458,1381,15.008000373840332,BLE
d8:cb:9e:78:21:fc,Seos,Uncategorized;10,2020-02-21 16:44:47,7936,-83,40.24938921,-111.65099458,1381,15.008000373840332,BLE
3b:13:4e:7c:d2:07,,Misc,2020-02-21 16:44:47,7936,-95,40.24938921,-111.65099458,1381,15.008000373840332,BLE
1b:1f:68:21:8f:ac,,Misc,2020-02-21 16:44:47,7936,-92,40.24938921,-111.65099458,1381,15.008000373840332,BLE
4a:96:cc:17:24:6c,,Misc,2020-02-21 16:44:47,7936,-98,40.24938921,-111.65099458,1381,15.008000373840332,BLE
0d:6a:2d:03:cf:9b,,Uncategorized,2020-02-21 16:44:47,7936,-97,40.24938921,-111.65099458,1381,15.008000373840332,BLE
55:11:86:9c:a6:8b,,Misc,2020-02-21 16:44:47,0,-95,40.24938921,-111.65099458,1381,15.008000373840332,BLE
b0:f8:f2:cd:f1:d4,Sbb5fce0ed7d9bb02C,Misc,2020-02-21 16:44:47,7936,-91,40.24938921,-111.65099458,1381,15.008000373840332,BLE
00:96:b6:30:67:1e,,Misc,2020-02-21 16:44:47,7936,-91,40.24938921,-111.65099458,1381,15.008000373840332,BLE
71:32:06:2e:26:84,,Misc,2020-02-21 16:44:47,7936,-96,40.24938921,-111.65099458,1381,15.008000373840332,BLE
2b:0d:bd:a1:bc:66,,Misc,2020-02-21 16:44:47,7936,-85,40.24938921,-111.65099458,1381,15.008000373840332,BLE
57:ea:5d:57:bc:63,,Uncategorized;10,2020-02-21 16:44:48,7936,-101,40.24943185,-111.6510834,1393,12.86400032043457,BT
30:23:03:82:85:f2,westland,[WPA2-PSK-CCMP][ESS],2020-02-21 16:44:49,157,-77,40.24950022,-111.65115851,1400,5.360000133514404,WIFI
36:23:03:82:85:f0,westlandguest,[WPA2-PSK-CCMP][ESS],2020-02-21 16:44:49,1,-82,40.24950022,-111.65115851,1400,5.360000133514404,WIFI
30:23:03:82:85:f1,westland,[WPA2-PSK-CCMP][ESS][WPS],2020-02-21 16:44:49,36,-83,40.24950022,-111.65115851,1400,5.360000133514404,WIFI
3a:23:03:82:85:f0,,[WPA2-PSK-CCMP][ESS],2020-02-21 16:44:49,1,-84,40.24950022,-111.65115851,1400,5.360000133514404,WIFI
36:23:03:82:85:f1,westlandguest,[WPA2-PSK-CCMP][ESS],2020-02-21 16:44:49,36,-84,40.24950022,-111.65115851,1400,5.360000133514404,WIFI
30:23:03:82:85:f0,westland,[WPA2-PSK-CCMP][ESS][WPS],2020-02-21 16:44:49,1,-84,40.24950022,-111.65115851,1400,5.360000133514404,WIFI
20:a6:cd:0b:a6:b1,BYU-WiFi,[ESS],2020-02-21 16:44:49,5580,-85,40.24950022,-111.65115851,1400,5.360000133514404,WIFI
20:a6:cd:0b:ae:e0,eduroam,[WPA2-EAP-CCMP][ESS],2020-02-21 16:44:49,6,-86,40.24950022,-111.65115851,1400,5.360000133514404,WIFI
20:a6:cd:0b:a6:b0,eduroam,[WPA2-EAP-CCMP][ESS],2020-02-21 16:44:49,5580,-86,40.24950022,-111.65115851,1400,5.360000133514404,WIFI
20:a6:cd:0b:ae:f0,eduroam,[WPA2-EAP-CCMP][ESS],2020-02-21 16:44:49,52,-87,40.24950022,-111.65115851,1400,5.360000133514404,WIFI
20:a6:cd:0b:ae:f1,BYU-WiFi,[ESS],2020-02-21 16:44:49,52,-87,40.24950022,-111.65115851,1400,5.360000133514404,WIFI
00:30:44:26:2d:f7,CP4,[WPA2-PSK-CCMP][ESS][WPS],2020-02-21 16:44:49,11,-87,40.24950022,-111.65115851,1400,5.360000133514404,WIFI
48:4a:e9:56:05:31,eduroam,[WPA2-EAP-CCMP][ESS],2020-02-21 16:44:49,112,-87,40.24950022,-111.65115851,1400,5.360000133514404,WIFI
48:4a:e9:56:05:30,BYU-WiFi,[ESS],2020-02-21 16:44:49,112,-88,40.24950022,-111.65115851,1400,5.360000133514404,WIFI
f4:f2:6d:af:38:07,Lattice,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS],2020-02-21 16:44:49,1,-94,40.24950022,-111.65115851,1400,5.360000133514404,WIFI
311480_3330_3370252,Verizon Wireless,LTE;311480,2020-02-21 16:44:49,2050,-89,40.24950022,-111.65115851,1400,5.360000133514404,LTE
d8:e0:e1:3f:d6:c1,[TV] Samsung 6 Series (50),Uncategorized;10,2020-02-21 16:44:52,7936,-93,40.24947958,-111.65117879,1397,3.2160000801086426,BLE
30:23:03:82:85:f1,westland,[WPA2-PSK-CCMP][ESS][WPS],2020-02-21 16:44:54,36,-78,40.24951293,-111.65121428,1400,3.2160000801086426,WIFI
36:23:03:82:85:f1,westlandguest,[WPA2-PSK-CCMP][ESS],2020-02-21 16:44:54,36,-78,40.24951293,-111.65121428,1400,3.2160000801086426,WIFI
20:a6:cd:0b:a6:a1,BYU-WiFi,[ESS],2020-02-21 16:44:54,1,-78,40.24951293,-111.65121428,1400,3.2160000801086426,WIFI
3a:23:03:82:85:f0,,[WPA2-PSK-CCMP][ESS],2020-02-21 16:44:54,1,-79,40.24951293,-111.65121428,1400,3.2160000801086426,WIFI
20:a6:cd:0b:a6:b0,eduroam,[WPA2-EAP-CCMP][ESS],2020-02-21 16:44:54,5580,-79,40.24951293,-111.65121428,1400,3.2160000801086426,WIFI
20:a6:cd:0b:a6:b1,BYU-WiFi,[ESS],2020-02-21 16:44:54,5580,-79,40.24951293,-111.65121428,1400,3.2160000801086426,WIFI
20:a6:cd:0b:a6:a0,eduroam,[WPA2-EAP-CCMP][ESS],2020-02-21 16:44:54,1,-80,40.24951293,-111.65121428,1400,3.2160000801086426,WIFI
aa:a7:95:55:0f:34,DIRECT-34-HP M477 LaserJet,[WPA2-PSK-CCMP][ESS][WPS],2020-02-21 16:44:54,1,-84,40.24951293,-111.65121428,1400,3.2160000801086426,WIFI
02:24:54:bf:c6:be,HPJ610a.E96263,[IBSS],2020-02-21 16:44:54,6,-85,40.24951293,-111.65121428,1400,3.2160000801086426,WIFI
9e:7b:ef:5a:fa:3f,DIRECT-3F-HP OfficeJet Pro 7740,[WPA2-PSK-CCMP][ESS][WPS],2020-02-21 16:44:54,1,-88,40.24951293,-111.65121428,1400,3.2160000801086426,WIFI
38:17:c3:e4:87:b0,eduroam,[WPA2-EAP-CCMP][ESS],2020-02-21 16:44:54,5580,-88,40.24951293,-111.65121428,1400,3.2160000801086426,WIFI
38:17:c3:e4:87:b1,BYU-WiFi,[ESS],2020-02-21 16:44:54,5580,-88,40.24951293,-111.65121428,1400,3.2160000801086426,WIFI
20:a6:cd:0b:95:71,BYU-WiFi,[ESS],2020-02-21 16:44:54,60,-88,40.24951293,-111.65121428,1400,3.2160000801086426,WIFI
20:a6:cd:0b:95:70,eduroam,[WPA2-EAP-CCMP][ESS],2020-02-21 16:44:54,60,-89,40.24951293,-111.65121428,1400,3.2160000801086426,WIFI
70:2a:d5:fd:49:4f,[TV] Samsung Q70 TV,Uncategorized;10,2020-02-21 16:44:55,7936,-92,40.24952443,-111.6512189,1400,3.2160000801086426,BT
