MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
40:23:43:4c:fa:8c,DESKTOP-2PSULFP,Laptop;10,2020-03-25 19:34:01,268,-54,39.59327671,-84.14923857,249,28.944000244140625,BT
e6:93:68:6c:6e:5c,Kid's Room,Uncategorized;10,2020-03-25 19:34:03,7936,-68,39.59337365,-84.14958821,244,21.440000534057617,BT
10:7b:44:11:fd:44,Hilton Hotel,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:34:03,36,-52,39.59337365,-84.14958821,244,21.440000534057617,WIFI
10:7b:44:11:fd:48,Hilton Hotel,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:34:03,157,-37,39.59337365,-84.14958821,244,21.440000534057617,WIFI
10:7b:44:11:fd:40,Hilton Hotel,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:34:03,3,-23,39.59337365,-84.14958821,244,21.440000534057617,WIFI
0e:02:8e:a6:e2:0f,ORBI60,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:34:03,3,-71,39.59337365,-84.14958821,244,21.440000534057617,WIFI
10:da:43:a0:e1:bc,NETGEAR11,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:34:03,1,-78,39.59337365,-84.14958821,244,21.440000534057617,WIFI
b0:39:56:d4:87:16,NETGEAR17,[WPA2-PSK-CCMP][PMF-OPT][WPS][ESS],2020-03-25 19:34:03,11,-76,39.59337365,-84.14958821,244,21.440000534057617,WIFI
3c:37:86:21:52:66,World Cup_2GEXT,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:34:03,5,-81,39.59337365,-84.14958821,244,21.440000534057617,WIFI
46:37:86:2d:26:0e,,[WPA2-PSK-CCMP][ESS],2020-03-25 19:34:03,3,-75,39.59337365,-84.14958821,244,21.440000534057617,WIFI
12:02:8e:a6:e2:0f,,[WPA2-PSK-CCMP][ESS],2020-03-25 19:34:03,3,-72,39.59337365,-84.14958821,244,21.440000534057617,WIFI
3c:37:86:c9:5d:1f,ORBI77,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:34:03,4,-77,39.59337365,-84.14958821,244,21.440000534057617,WIFI
42:37:86:2d:26:0e,ORBI60,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:34:03,3,-74,39.59337365,-84.14958821,244,21.440000534057617,WIFI
78:d2:94:02:5b:f4,NETGEAR16,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:34:03,2,-79,39.59337365,-84.14958821,244,21.440000534057617,WIFI
f4:f2:6d:2d:5b:31,sdhz,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:34:03,11,-80,39.59337365,-84.14958821,244,21.440000534057617,WIFI
ac:3b:77:d6:35:74,MySpectrumWiFi6e-2G,[WPA2-PSK-CCMP][ESS],2020-03-25 19:34:03,11,-80,39.59337365,-84.14958821,244,21.440000534057617,WIFI
310410_17630_83449110,AT&T Mobility,WCDMA;310410,2020-03-25 19:34:03,4435,-89,39.59337365,-84.14958821,244,21.440000534057617,WCDMA
14:cf:e4:af:e8:2b,,Misc,2020-03-25 19:34:05,0,-52,39.59339577,-84.14962339,261,13.93600082397461,BLE
4c:c1:b9:e5:50:0a,,Misc,2020-03-25 19:34:05,0,-73,39.59339577,-84.14962339,261,13.93600082397461,BLE
32:da:f3:b3:33:9e,,Misc,2020-03-25 19:34:05,0,-73,39.59339577,-84.14962339,261,13.93600082397461,BLE
77:a1:05:13:ae:2c,,Misc,2020-03-25 19:34:05,7936,-67,39.59339577,-84.14962339,261,13.93600082397461,BLE
f6:6e:33:29:f8:a0,Versa,Uncategorized;10,2020-03-25 19:34:08,7936,-84,39.59336519,-84.14975238,249,5.360000133514404,BT
4c:c1:b9:e5:50:0a,,Misc,2020-03-25 19:34:15,0,-68,39.59336703,-84.14978193,249,3.2160000801086426,BLE
3c:37:86:2d:26:11,,[WPA2-PSK-CCMP][ESS],2020-03-25 19:34:20,157,-75,39.59336896,-84.14977874,249,3.2160000801086426,WIFI
77:a1:05:13:ae:2c,,Misc,2020-03-25 19:34:20,7936,-61,39.59336896,-84.14977874,249,3.2160000801086426,BLE
32:da:f3:b3:33:9e,,Misc,2020-03-25 19:34:20,0,-67,39.59336896,-84.14977874,249,3.2160000801086426,BLE
fc:ae:34:8f:1d:c0,ATTxDTfRqs,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:34:32,11,-77,39.59336903,-84.14977952,249,4.288000106811523,WIFI
310410_17630_83449110,AT&T Mobility,WCDMA;310410,2020-03-25 19:34:32,4435,-83,39.59336903,-84.14977952,249,4.288000106811523,WCDMA
5c:b9:01:5d:b8:27,HP-Print-27-ENVY 4500 series,[ESS],2020-03-25 19:34:50,3,-78,39.59336894,-84.14978159,249,4.288000106811523,WIFI
34:12:98:07:5f:04,Joellen's Wi-Fi Network,[WPA2-PSK-CCMP][ESS],2020-03-25 19:35:02,6,-82,39.59334928,-84.14981361,250,10.720000267028809,WIFI
4b:34:29:4b:d1:3c,,Misc,2020-03-25 19:35:05,0,-86,39.59335535,-84.14982599,251,12.86400032043457,BLE
4b:34:29:4b:d1:3c,,Misc,2020-03-25 19:35:10,0,-61,39.59339092,-84.14980408,250,10.720000267028809,BLE
47:12:4d:22:9d:09,,Misc,2020-03-25 19:35:15,0,-80,39.59340401,-84.14979767,254,4.288000106811523,BLE
38:3b:c8:dd:57:ce,ATT759,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2020-03-25 19:35:18,6,-73,39.59339899,-84.14978973,254,4.288000106811523,WIFI
12:02:8e:a7:a0:32,,[WPA2-PSK-CCMP][ESS],2020-03-25 19:35:18,3,-79,39.59339899,-84.14978973,254,4.288000106811523,WIFI
0e:02:8e:a7:a0:32,ORBI60,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:35:18,3,-81,39.59339899,-84.14978973,254,4.288000106811523,WIFI
84:a0:6e:cc:49:a6,JZR 2.4G,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:35:18,1,-80,39.59339899,-84.14978973,254,4.288000106811523,WIFI
f6:6e:33:29:f8:a0,Versa,Uncategorized;10,2020-03-25 19:35:25,7936,-54,39.59337731,-84.14977303,255,4.288000106811523,BT
20:0c:c8:24:98:39,NETGEAR39,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:35:30,6,-82,39.59337605,-84.14977142,255,4.288000106811523,WIFI
4b:34:29:4b:d1:3c,,Misc,2020-03-25 19:35:31,0,-55,39.59337602,-84.14977138,255,4.288000106811523,BLE
f4:f2:6d:2d:5b:30,sdhz5G,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:54:46,153,-82,39.59332799,-84.14990658,260,3.2160000801086426,WIFI
f4:f2:6d:2d:5b:31,sdhz,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:54:46,11,-74,39.59332799,-84.14990658,260,3.2160000801086426,WIFI
ac:3b:77:d6:35:74,MySpectrumWiFi6e-2G,[WPA2-PSK-CCMP][ESS],2020-03-25 19:54:46,11,-75,39.59332799,-84.14990658,260,3.2160000801086426,WIFI
10:62:e5:72:b8:4e,DIRECT-4D-HP OfficeJet Pro 6960,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:54:46,6,-78,39.59332799,-84.14990658,260,3.2160000801086426,WIFI
d8:6c:63:d6:e6:21,brownwireless,[WPA2-PSK-CCMP][ESS],2020-03-25 19:54:46,6,-83,39.59332799,-84.14990658,260,3.2160000801086426,WIFI
90:72:40:1e:ce:3a,Home Network,[WPA2-PSK-CCMP][ESS],2020-03-25 19:54:46,11,-85,39.59332799,-84.14990658,260,3.2160000801086426,WIFI
88:1f:a1:3a:0b:04,threl's Network,[WPA2-PSK-CCMP][ESS],2020-03-25 19:56:39,6,-96,39.59338446,-84.14974985,263,9.648000717163086,WIFI
3b:70:0c:34:9a:49,,Misc,2020-03-25 19:57:08,0,-57,39.59338189,-84.14974865,263,9.648000717163086,BLE
25:bd:47:8a:17:b3,,Misc,2020-03-25 19:57:08,0,-76,39.59338189,-84.14974865,263,9.648000717163086,BLE
0e:02:8e:a6:e2:0f,ORBI60,[WPA2-PSK-CCMP][WPS][ESS],2020-03-25 19:58:40,3,-65,39.59338095,-84.14974856,263,9.648000717163086,WIFI
0c:ba:3a:51:98:f1,,Misc,2020-03-25 20:01:09,0,-73,39.59338238,-84.14975038,263,9.648000717163086,BLE
1b:f6:09:df:02:e3,,Misc,2020-03-25 20:03:09,0,-57,39.59337429,-84.14975397,263,9.648000717163086,BLE
3e:75:87:80:3f:5b,,Misc,2020-03-25 20:10:40,0,-82,39.5933724,-84.14975518,265,9.648000717163086,BLE
16:19:89:14:c3:67,,Misc,2020-03-25 20:13:10,0,-65,39.59337422,-84.14975165,265,9.648000717163086,BLE
06:b4:1f:f5:49:29,,Misc,2020-03-25 20:13:10,0,-56,39.59337422,-84.14975165,265,9.648000717163086,BLE
d7:da:fb:51:3b:1f,Versa,Uncategorized,2020-03-25 20:13:10,7936,-79,39.59337422,-84.14975165,265,9.648000717163086,BLE
3e:75:87:80:3f:5b,,Misc,2020-03-25 20:13:10,0,-75,39.59337422,-84.14975165,265,9.648000717163086,BLE
d7:da:fb:51:3b:1f,Versa,Uncategorized,2020-03-25 20:15:41,7936,-69,39.59337399,-84.14974933,265,9.648000717163086,BLE
31:ff:bf:11:2e:21,,Misc,2020-03-25 20:20:41,0,-79,39.59337848,-84.14975052,266,9.648000717163086,BLE
09:68:b7:22:54:3a,,Misc,2020-03-25 20:23:12,0,-56,39.59338019,-84.14975126,266,9.648000717163086,BLE
37:1e:2d:9a:23:df,,Misc,2020-03-25 20:30:29,0,-74,39.59338375,-84.14975092,267,9.648000717163086,BLE
